,ID,Name,Father Name,DOB,FamilyNo,StreetAddress,City,Province,Gender
14,42101-4166689-9,Ihtisham Tahir,Tahir Hamza,"Sep 26, 1965",N3R237,"House No 77-S, Street No 27, Sector C-4/1",Karachi,Sindh,Male
15,42401-1051509-9,Anam Imran,Imran Usayd,"Dec 4, 2010",R0X908,"House No 48-G, Street No 6, Sector L-6/6",Quetta,Balochistan,Female
16,42101-2250299-9,Salman Moheem,Moheem Waqas,"Nov 26, 1956",R4U522,"House No 38-H, Street No 23, Sector P-4/3",Islamabad,Federal State,Male
17,42101-2191629-9,Mariam Sameer,Sameer Bilawal,"Nov 8, 1966",X7T257,"House No 17-R, Street No 29, Sector A-4/8",Karachi,Sindh,Female
18,42101-5187729-9,Maab Sohail,Sohail Bashir,"Aug 30, 1957",X3T951,"House No 75-T, Street No 12, Sector L-1/6",Karachi,Sindh,Male
19,42101-1060389-9,Sahar Amir,Amir Tahir,"Aug 22, 2009",O4Z011,"House No 45-K, Street No 8, Sector I-5/0",Peshawar,KPK,Female
20,42101-1297979-9,Hania Danish,Danish Shehryar,"Jul 10, 1986",J8H347,"House No 46-S, Street No 12, Sector T-6/0",Karachi,Sindh,Female
21,42401-1256919-9,Areeba Malik,Malik Zeeshan,"Nov 1, 1957",F1K760,"House No 31-G, Street No 25, Sector H-2/3",Islamabad,Federal State,Female
22,42101-3289969-9,Sohaib Hammad,Hammad Atif,"Aug 10, 1979",H4M027,"House No 03-F, Street No 24, Sector I-0/3",Islamabad,Federal State,Male
23,42101-7181359-9,Sadia Sameer,Sameer Bashir,"Aug 8, 1957",A0J424,"House No 60-R, Street No 13, Sector H-2/2",Karachi,Sindh,Female
24,42101-8044729-9,Minal Farooq,Farooq Shahid,"Sep 7, 2011",B2F696,"House No 41-U, Street No 25, Sector F-4/7",Islamabad,Federal State,Female
25,42401-1255959-9,Anum Javed,Javed Farhan,"Mar 8, 1966",E7Q394,"House No 23-Y, Street No 11, Sector F-2/0",Peshawar,KPK,Female
26,42101-2082609-9,Uneeb Rehan,Rehan Umair,"Jun 9, 1971",B6X118,"House No 89-F, Street No 15, Sector P-5/6",Peshawar,KPK,Male
27,42101-7201589-9,Saima Asad,Asad Mujtaba,"Oct 28, 1976",F5R224,"House No 84-A, Street No 15, Sector R-0/4",Karachi,Sindh,Female
28,42401-9118429-9,Malik Asad,Asad Usman,"Nov 5, 2002",L6N233,"House No 63-S, Street No 16, Sector T-5/2",Karachi,Sindh,Male
29,42401-2156589-9,Ahmed Subhan,Subhan Khan,"Dec 23, 1995",Y1V010,"House No 56-A, Street No 15, Sector M-1/3",Islamabad,Federal State,Male
30,42101-6176849-9,Subhan Aashir,Aashir Sohail,"Dec 11, 1971",J2V397,"House No 53-R, Street No 18, Sector Y-0/8",Lahore,Punjab,Male
31,42401-1126899-9,Waqas Ibrahim,Ibrahim Zaid,"Feb 25, 1998",H4G392,"House No 89-L, Street No 20, Sector W-5/1",Quetta,Balochistan,Male
32,42401-3218119-9,Zainab Saif,Saif Yasir,"Mar 16, 1996",L1S205,"House No 49-I, Street No 30, Sector M-7/1",Karachi,Sindh,Female
33,42101-8041279-9,Bilal Ibrahim,Ibrahim Ihtisham,"Sep 16, 1960",H6S374,"House No 30-V, Street No 19, Sector J-4/9",Peshawar,KPK,Male
34,42401-2289389-9,Anam Amir,Amir Wasay,"Sep 23, 1997",R0M939,"House No 38-A, Street No 18, Sector E-9/6",Lahore,Punjab,Female
35,42101-2234109-9,Hajra Sameer,Sameer Talha,"Sep 19, 1980",M5A831,"House No 70-I, Street No 29, Sector J-2/4",Karachi,Sindh,Female
36,42401-7054489-9,Aanya Talha,Talha Haider,"Jun 20, 1967",Y1X814,"House No 02-D, Street No 12, Sector K-3/5",Islamabad,Federal State,Female
37,42401-0229069-9,Zeeshan Sohail,Sohail Imran,"Sep 22, 2006",Q2E934,"House No 48-G, Street No 12, Sector D-4/6",Lahore,Punjab,Male
38,42401-4289919-9,Shehzad Shehzad,Shehzad Salman,"May 12, 1981",N5V994,"House No 57-X, Street No 23, Sector S-8/5",Karachi,Sindh,Male
39,42101-3033849-9,Danish Maab,Maab Faraz,"Oct 27, 1986",X2V238,"House No 66-U, Street No 9, Sector M-3/2",Lahore,Punjab,Male
40,42101-3187589-9,Sameer Asad,Asad Waseem,"Jul 7, 1999",E1U624,"House No 23-J, Street No 10, Sector U-6/7",Quetta,Balochistan,Male
41,42401-7267839-9,Zainab Sohail,Sohail Touseef,"Aug 8, 1994",E2R008,"House No 60-A, Street No 14, Sector D-4/8",Lahore,Punjab,Female
42,42401-3083429-9,Humaima Jamal,Jamal Moosa,"Mar 15, 2002",V1U609,"House No 89-Z, Street No 2, Sector V-9/9",Karachi,Sindh,Female
43,42401-0019029-9,Jamal Kabir,Kabir Hamza,"Aug 25, 1974",T2Q480,"House No 04-B, Street No 24, Sector X-5/9",Lahore,Punjab,Male
44,42401-5052009-9,Mariam Javed,Javed Salman,"Nov 20, 1971",G1D874,"House No 74-D, Street No 4, Sector P-8/6",Karachi,Sindh,Female
45,42401-1177749-9,Anum Usman,Usman Waseem,"Oct 28, 1989",L5N443,"House No 06-N, Street No 10, Sector D-8/0",Islamabad,Federal State,Female
46,42101-1296429-9,Asher Zawar,Zawar Ibrahim,"Apr 21, 1985",C9N240,"House No 90-Y, Street No 8, Sector Q-3/4",Lahore,Punjab,Male
47,42401-4162769-9,Farhan Askari,Askari Abdul,"May 2, 1981",S1V123,"House No 48-X, Street No 7, Sector T-1/6",Karachi,Sindh,Male
48,42401-3211479-9,Hania Ali,Ali Zawar,"Mar 28, 1969",O7K199,"House No 48-E, Street No 26, Sector P-3/0",Islamabad,Federal State,Female
49,42401-2089129-9,Asma Farhan,Farhan Moosa,"Oct 29, 1967",R0W029,"House No 97-K, Street No 23, Sector D-4/7",Peshawar,KPK,Female
50,42401-0174939-9,Sohail Kabir,Kabir Askari,"Aug 23, 1968",W5C699,"House No 68-U, Street No 8, Sector Q-0/4",Karachi,Sindh,Male
51,42101-4080539-9,Aafea Zawar,Zawar Faraz,"Sep 15, 1976",Q4B335,"House No 09-O, Street No 18, Sector F-2/6",Peshawar,KPK,Female
52,42401-0305989-9,Sobia Zeeshan,Zeeshan Touseef,"Dec 1, 2010",Y1M498,"House No 75-L, Street No 22, Sector L-1/1",Lahore,Punjab,Female
53,42101-1243369-9,Zaid Hashim,Hashim Moheem,"Jun 25, 1979",J1T170,"House No 09-A, Street No 28, Sector F-9/5",Peshawar,KPK,Male
54,42401-1306149-9,Muzammil Zaid,Zaid Bilal,"Jun 2, 1999",H3K071,"House No 24-H, Street No 25, Sector V-0/1",Quetta,Balochistan,Male
55,42401-5299169-9,Tahir Munir,Munir Shehryar,"Oct 29, 1964",L7Z361,"House No 31-K, Street No 2, Sector C-6/9",Lahore,Punjab,Male
56,42401-2266939-9,Kainat Tariq,Tariq Faraz,"May 17, 1966",F9D594,"House No 32-B, Street No 28, Sector F-0/7",Karachi,Sindh,Female
57,42101-0252609-9,Kinza Hammad,Hammad Touseef,"Oct 12, 1994",F1T007,"House No 93-T, Street No 10, Sector J-5/1",Peshawar,KPK,Female
58,42101-9014359-9,Irum Ibrahim,Ibrahim Asad,"Jan 18, 1990",P0L798,"House No 91-Y, Street No 26, Sector M-4/6",Islamabad,Federal State,Female
59,42101-8041529-9,Atif Usayd,Usayd Haider,"Nov 24, 2009",N5G825,"House No 30-T, Street No 13, Sector R-7/2",Islamabad,Federal State,Male
60,42401-0136389-9,Roha Abdullah,Abdullah Sohail,"Apr 11, 1991",C9A078,"House No 64-N, Street No 18, Sector E-7/2",Islamabad,Federal State,Female
61,42101-2309029-9,Amir Tariq,Tariq Bilal,"Jan 18, 1983",F4Y324,"House No 25-G, Street No 15, Sector I-9/1",Lahore,Punjab,Male
62,42401-9281809-9,Hajra Faizan,Faizan Ahmed,"Mar 27, 2010",L3L812,"House No 87-S, Street No 24, Sector J-5/7",Islamabad,Federal State,Female
63,42401-9141189-9,Ahmed Sameer,Sameer Talha,"Dec 15, 1983",V6R162,"House No 13-A, Street No 23, Sector X-2/9",Peshawar,KPK,Male
64,42101-1183949-9,Touseef Kashif,Kashif Salman,"Nov 9, 1972",X5T800,"House No 62-Z, Street No 10, Sector V-2/0",Quetta,Balochistan,Male
65,42101-3013209-9,Shehryar Haider,Haider Sameer,"Aug 1, 1960",Q8Z793,"House No 19-O, Street No 24, Sector A-2/8",Quetta,Balochistan,Male
66,42401-6200249-9,Haider Moosa,Moosa Khan,"Feb 16, 1981",B1Y085,"House No 38-F, Street No 25, Sector Q-1/3",Quetta,Balochistan,Male
67,42401-7267459-9,Ittrat Abid,Abid Najam,"Dec 31, 1974",V0S835,"House No 25-H, Street No 27, Sector B-9/2",Quetta,Balochistan,Female
68,42401-6254359-9,Asad Raza,Raza Salman,"Jun 3, 1957",J4F028,"House No 01-P, Street No 12, Sector X-8/1",Lahore,Punjab,Male
69,42101-3050129-9,Amjad Kashif,Kashif Touseef,"Oct 1, 1975",F9F653,"House No 32-R, Street No 13, Sector A-9/7",Islamabad,Federal State,Male
70,42401-2303999-9,Usayd Asher,Asher Najam,"Jan 15, 1987",J7U184,"House No 33-P, Street No 15, Sector T-3/8",Lahore,Punjab,Male
71,42401-8036149-9,Bisma Waqas,Waqas Idrees,"Sep 26, 1975",Y6P689,"House No 95-B, Street No 3, Sector A-7/6",Islamabad,Federal State,Female
72,42401-4069179-9,Nimra Salman,Salman Yasir,"Aug 4, 1959",I2M683,"House No 75-O, Street No 20, Sector N-5/4",Quetta,Balochistan,Female
73,42401-6265249-9,Adnan Zeeshan,Zeeshan Ali,"Dec 18, 2008",Q8S013,"House No 10-X, Street No 16, Sector E-5/0",Lahore,Punjab,Male
74,42101-5276879-9,Zeeshan Amir,Amir Danish,"Jan 17, 1970",N2Z938,"House No 30-G, Street No 4, Sector S-6/3",Peshawar,KPK,Male
75,42101-5268839-9,Aashir Azeem,Azeem Bilal,"Jun 16, 1991",G1H991,"House No 50-T, Street No 16, Sector E-2/4",Quetta,Balochistan,Male
76,42401-5119569-9,Najam Jamal,Jamal Touseef,"Jun 12, 1971",L3T670,"House No 30-Q, Street No 26, Sector E-6/3",Peshawar,KPK,Male
77,42101-4083159-9,Faraz Zeeshan,Zeeshan Hamza,"Sep 29, 1973",E5K176,"House No 59-W, Street No 1, Sector Y-5/6",Quetta,Balochistan,Male
78,42401-0252309-9,Saamiya Yasir,Yasir Askari,"Apr 10, 1992",K2G669,"House No 31-M, Street No 5, Sector X-9/9",Islamabad,Federal State,Female
79,42401-2058449-9,Komal Maab,Maab Munir,"Sep 4, 2000",Q5O454,"House No 61-O, Street No 17, Sector E-7/1",Peshawar,KPK,Female
80,42101-6139739-9,Bashir Salman,Salman Bilawal,"Nov 30, 1986",T1P692,"House No 11-Y, Street No 2, Sector G-5/9",Quetta,Balochistan,Male
81,42101-9207199-9,Hammad Idrees,Idrees Amjad,"Nov 25, 2008",O6N239,"House No 00-D, Street No 17, Sector A-1/6",Karachi,Sindh,Male
82,42101-2178409-9,Sameer Naeem,Naeem Bilal,"Aug 8, 1983",O1E855,"House No 53-W, Street No 19, Sector K-9/7",Lahore,Punjab,Male
83,42401-6182719-9,Azeem Hammad,Hammad Faheem,"Nov 18, 1959",H7R331,"House No 96-F, Street No 6, Sector R-5/7",Lahore,Punjab,Male
84,42401-4155909-9,Mahira Subhan,Subhan Shahid,"Jan 5, 1974",Y5U784,"House No 36-X, Street No 25, Sector U-5/3",Quetta,Balochistan,Female
85,42401-2094019-9,Saamiya Askari,Askari Uneeb,"Aug 3, 1962",V8H418,"House No 62-V, Street No 10, Sector M-2/4",Karachi,Sindh,Female
86,42101-0026419-9,Khan Tahir,Tahir Umair,"Mar 9, 2002",Z4L948,"House No 23-F, Street No 11, Sector M-9/2",Islamabad,Federal State,Male
87,42101-2182889-9,Yasir Uneeb,Uneeb Zeeshan,"May 16, 1963",G6O894,"House No 73-W, Street No 25, Sector Z-6/0",Peshawar,KPK,Male
88,42101-6098439-9,Sheraz Ihtisham,Ihtisham Yasir,"Aug 16, 1958",P7S828,"House No 57-M, Street No 13, Sector H-3/3",Islamabad,Federal State,Male
89,42101-6129479-9,Usman Shahid,Shahid Zahid,"Apr 14, 1959",Y1K469,"House No 00-M, Street No 11, Sector P-6/6",Islamabad,Federal State,Male
90,42401-6290989-9,Momina Waqas,Waqas Faheem,"Oct 6, 1961",W4X354,"House No 24-I, Street No 4, Sector H-6/1",Peshawar,KPK,Female
91,42101-2249359-9,Benish Abdullah,Abdullah Wasay,"Aug 2, 1987",K0Z068,"House No 90-Y, Street No 10, Sector H-9/7",Quetta,Balochistan,Female
92,42101-6085709-9,Ali Adnan,Adnan Ibrahim,"May 30, 1957",C9Z230,"House No 06-O, Street No 25, Sector K-5/5",Lahore,Punjab,Male
93,42401-8025889-9,Abid Shehryar,Shehryar Kabir,"Nov 9, 1987",M0C900,"House No 31-P, Street No 29, Sector I-6/4",Islamabad,Federal State,Male
94,42101-8254659-9,Kanwal Hashim,Hashim Tahir,"Sep 16, 1997",D4G444,"House No 00-J, Street No 17, Sector O-6/5",Peshawar,KPK,Female
95,42101-1268739-9,Waseem Ali,Ali Sameer,"Aug 1, 1958",E7J151,"House No 32-G, Street No 16, Sector O-8/6",Quetta,Balochistan,Male
96,42101-2226449-9,Zahid Uneeb,Uneeb Yasir,"Oct 5, 1965",H9V294,"House No 14-Z, Street No 9, Sector F-1/2",Lahore,Punjab,Male
97,42401-3302089-9,Saima Adnan,Adnan Ibrahim,"Aug 14, 2010",C1W109,"House No 89-E, Street No 23, Sector Q-1/9",Peshawar,KPK,Female
98,42401-1185029-9,Bisma Abd,Abd ul Rehman Abd ul Rehman,"Aug 6, 2003",W8S781,"House No 92-B, Street No 17, Sector O-5/4",Islamabad,Federal State,Female
99,42101-3307999-9,Fatima Javed,Javed Zawar,"Feb 25, 2011",Q6M888,"House No 11-Q, Street No 19, Sector R-1/7",Quetta,Balochistan,Female
100,42101-7038169-9,Hania Uneeb,Uneeb Zahid,"Mar 16, 1967",Z9L055,"House No 39-X, Street No 8, Sector X-2/4",Islamabad,Federal State,Female
101,42101-4272109-9,Farooq Shehryar,Shehryar Talha,"Jan 11, 1993",U5N488,"House No 87-X, Street No 13, Sector G-3/3",Islamabad,Federal State,Male
102,42401-4239899-9,Abdullah Ihtisham,Ihtisham Danish,"May 4, 1979",G2P414,"House No 97-V, Street No 17, Sector A-8/9",Karachi,Sindh,Male
103,42101-3220889-9,Raza Ihtisham,Ihtisham Saif,"Mar 13, 1969",N7A251,"House No 28-V, Street No 1, Sector Y-8/8",Quetta,Balochistan,Male
104,42401-2081869-9,Saif Waqas,Waqas Sohaib,"Mar 2, 1983",J9I658,"House No 16-L, Street No 5, Sector U-5/5",Karachi,Sindh,Male
105,42401-9271469-9,Amin Azeem,Azeem Usayd,"Sep 28, 1963",K6B008,"House No 97-Y, Street No 5, Sector Z-6/5",Peshawar,KPK,Male
106,42101-1097249-9,Noor Khan,Khan Touseef,"Jul 16, 1998",R0X181,"House No 30-G, Street No 30, Sector P-8/3",Karachi,Sindh,Female
107,42101-2084439-9,Zoha Zeeshan,Zeeshan Sameer,"Jan 13, 1990",L2M469,"House No 92-O, Street No 2, Sector N-9/1",Peshawar,KPK,Female
108,42101-3257209-9,Neha Bilawal,Bilawal Atif,"Dec 25, 1974",L5R215,"House No 16-N, Street No 7, Sector E-8/1",Islamabad,Federal State,Female
109,42101-9237979-9,Hareem Abdullah,Abdullah Maab,"May 31, 2011",V5V967,"House No 40-S, Street No 1, Sector P-0/3",Karachi,Sindh,Female
110,42401-0214669-9,Mujtaba Abdul,Abdul Maab,"Oct 20, 2007",H6A900,"House No 11-Q, Street No 1, Sector I-7/2",Quetta,Balochistan,Male
111,42101-2257199-9,Dania Abd,Abd ul Rehman Faizan,"Nov 6, 1955",N3W762,"House No 77-R, Street No 8, Sector J-3/0",Lahore,Punjab,Female
112,42401-7013679-9,Aanya Zaid,Zaid Tariq,"Jan 24, 1990",R6S230,"House No 23-X, Street No 9, Sector F-1/1",Quetta,Balochistan,Female
113,42101-4104499-9,Tooba Yasir,Yasir Najam,"Aug 18, 1955",Y4H413,"House No 13-F, Street No 16, Sector L-4/2",Quetta,Balochistan,Female
114,42101-4234989-9,Sarah Shehzad,Shehzad Aashir,"Mar 22, 1963",O5X070,"House No 52-K, Street No 13, Sector Z-0/4",Lahore,Punjab,Female
115,42401-4060739-9,Khadija Usman,Usman Waqas,"Nov 12, 1956",B1C346,"House No 27-P, Street No 14, Sector J-0/0",Peshawar,KPK,Female
116,42401-3289869-9,Ursula Farhan,Farhan Hashim,"Nov 8, 1987",S1P351,"House No 18-Y, Street No 9, Sector Y-4/7",Islamabad,Federal State,Female
117,42101-3081769-9,Faizan Kabir,Kabir Salman,"Mar 29, 1962",T5V717,"House No 13-L, Street No 4, Sector E-8/0",Peshawar,KPK,Male
118,42101-7230789-9,Armeena Uneeb,Uneeb Salman,"Jan 19, 1957",B9R889,"House No 23-B, Street No 27, Sector C-8/1",Karachi,Sindh,Female
119,42401-1223249-9,Areeba Tahir,Tahir Babar,"Jan 2, 1989",O1P175,"House No 06-C, Street No 19, Sector Z-1/4",Islamabad,Federal State,Female
120,42401-7157639-9,Sobia Munir,Munir Maisam,"May 21, 1995",C6B484,"House No 59-B, Street No 7, Sector T-8/4",Peshawar,KPK,Female
121,42101-8138099-9,Kanwal Saad,Saad Amin,"Sep 24, 1991",I1H455,"House No 42-S, Street No 11, Sector C-2/2",Peshawar,KPK,Female
122,42401-3242389-9,Amir Tahir,Tahir Idrees,"Apr 12, 1968",I3G544,"House No 34-N, Street No 16, Sector K-3/8",Peshawar,KPK,Male
123,42101-3269659-9,Talha Uneeb,Uneeb Faizan,"May 13, 1985",X5S202,"House No 09-Z, Street No 26, Sector J-9/0",Karachi,Sindh,Male
124,42401-2228119-9,Mariam Muzammil,Muzammil Shahid,"Oct 6, 2002",F0M755,"House No 80-Q, Street No 28, Sector F-1/7",Karachi,Sindh,Female
125,42401-9127969-9,Faria Bilal,Bilal Ahmed,"Jan 1, 1968",J6G391,"House No 37-S, Street No 10, Sector Z-3/8",Islamabad,Federal State,Female
126,42101-3276829-9,Anam Uneeb,Uneeb Malik,"Feb 27, 1989",X9T061,"House No 74-U, Street No 15, Sector Z-5/0",Peshawar,KPK,Female
127,42401-9164739-9,Sadaf Faizan,Faizan Saad,"Nov 21, 1988",V9P897,"House No 00-R, Street No 30, Sector S-7/6",Lahore,Punjab,Female
128,42401-4283119-9,Mahnoor Abd,Abd ul Rehman Bilawal,"Apr 23, 1991",K0X900,"House No 66-U, Street No 29, Sector Z-5/3",Islamabad,Federal State,Female
129,42401-3248039-9,Ifrah Hassan,Hassan Sheraz,"May 27, 1985",V3Z670,"House No 47-Q, Street No 3, Sector I-9/3",Peshawar,KPK,Female
130,42401-1235709-9,Hashim Moosa,Moosa Rehan,"Dec 24, 1965",R1R348,"House No 00-M, Street No 18, Sector H-5/9",Lahore,Punjab,Male
131,42401-2264169-9,Hammad Tahir,Tahir Imran,"Jan 26, 2001",T2H181,"House No 65-P, Street No 28, Sector R-2/5",Quetta,Balochistan,Male
132,42101-4080899-9,Sohaib Zeeshan,Zeeshan Fazal,"Feb 28, 1995",O9J849,"House No 27-T, Street No 29, Sector V-4/1",Peshawar,KPK,Male
133,42401-6040809-9,Fariha Idrees,Idrees Wasay,"Mar 24, 2004",T6S671,"House No 43-Q, Street No 22, Sector O-7/2",Islamabad,Federal State,Female
134,42101-2282239-9,Tehreem Ahmed,Ahmed Kabir,"Jun 30, 1980",B7Y236,"House No 63-U, Street No 17, Sector G-1/2",Islamabad,Federal State,Female
135,42101-4280129-9,Faheem Talha,Talha Zaid,"Feb 21, 1983",M5C227,"House No 26-V, Street No 30, Sector Q-4/6",Quetta,Balochistan,Male
136,42101-1287359-9,Zain Maisam,Maisam Farooq,"Feb 26, 2002",V1Y276,"House No 76-A, Street No 18, Sector V-1/3",Lahore,Punjab,Male
137,42101-6097809-9,Alina Tahir,Tahir Usman,"Oct 4, 1993",J6S492,"House No 84-P, Street No 21, Sector S-7/0",Karachi,Sindh,Female
138,42401-0136129-9,Arisha Abdullah,Abdullah Naeem,"Oct 26, 1999",J6I728,"House No 03-N, Street No 21, Sector C-1/3",Peshawar,KPK,Female
139,42401-6028139-9,Bilawal Kabir,Kabir Waseem,"Nov 15, 1974",A3F882,"House No 06-P, Street No 11, Sector U-5/1",Islamabad,Federal State,Male
140,42101-1172729-9,Mehwish Salman,Salman Yasir,"Feb 16, 1980",S4W368,"House No 73-B, Street No 5, Sector G-9/3",Quetta,Balochistan,Female
141,42401-3029609-9,Salman Babar,Babar Hashim,"Mar 20, 1972",L5O828,"House No 03-A, Street No 29, Sector T-2/4",Quetta,Balochistan,Male
142,42401-1229339-9,Asma Ahmed,Ahmed Sohaib,"Jan 24, 1961",Z9H682,"House No 06-S, Street No 12, Sector D-9/3",Islamabad,Federal State,Female
143,42401-2127009-9,Mahnoor Naeem,Naeem Yasir,"Dec 29, 1997",A5Y503,"House No 61-N, Street No 18, Sector V-6/5",Peshawar,KPK,Female
144,42401-7166309-9,Irum Rehan,Rehan Amir,"Mar 24, 2001",L5Y112,"House No 28-G, Street No 3, Sector H-9/0",Quetta,Balochistan,Female
145,42401-7194049-9,Faiza Wasay,Wasay Talha,"May 15, 1976",B9P823,"House No 23-B, Street No 13, Sector R-6/9",Lahore,Punjab,Female
146,42401-1191209-9,Ayesha Hassan,Hassan Sohail,"Jul 21, 2001",P5B244,"House No 89-F, Street No 14, Sector P-1/1",Lahore,Punjab,Female
147,42401-9178849-9,Kashif Zeeshan,Zeeshan Saif,"May 24, 1998",D3O616,"House No 75-G, Street No 22, Sector W-4/5",Quetta,Balochistan,Male
148,42401-1017529-9,Mahrukh Adnan,Adnan Mujtaba,"Jan 6, 1956",O0L276,"House No 07-D, Street No 27, Sector W-5/2",Lahore,Punjab,Female
149,42401-4040229-9,Ayesha Moosa,Moosa Bilal,"Aug 11, 2011",Z6O340,"House No 39-W, Street No 26, Sector L-0/4",Karachi,Sindh,Female
150,42401-4306189-9,Sidra Askari,Askari Zain,"Sep 1, 2002",E4J792,"House No 57-K, Street No 6, Sector T-4/1",Quetta,Balochistan,Female
151,42101-1091679-9,Naeem Zain,Zain Zeeshan,"Jul 5, 1993",X2M787,"House No 08-C, Street No 22, Sector T-4/2",Peshawar,KPK,Male
152,42101-7053039-9,Umair Mujtaba,Mujtaba Faizan,"Oct 31, 1994",H8I151,"House No 44-Z, Street No 9, Sector R-2/0",Peshawar,KPK,Male
153,42101-0050959-9,Ibrahim Shehzad,Shehzad Talha,"Jun 18, 2007",D5M528,"House No 80-B, Street No 27, Sector S-4/0",Peshawar,KPK,Male
154,42401-2245019-9,Javed Hassan,Hassan Najam,"Sep 24, 1962",W1K278,"House No 35-M, Street No 29, Sector S-7/9",Karachi,Sindh,Male
155,42401-3080149-9,Ramsha Shehryar,Shehryar Hammad,"Jan 6, 2008",X9D523,"House No 65-D, Street No 19, Sector C-2/2",Quetta,Balochistan,Female
156,42401-1023009-9,Rida Kashif,Kashif Hashim,"Sep 3, 1982",Y4T742,"House No 96-S, Street No 27, Sector D-4/8",Lahore,Punjab,Female
157,42101-9056499-9,Munir Rehan,Rehan Waqas,"Jul 15, 1989",G0F725,"House No 38-J, Street No 30, Sector C-5/2",Islamabad,Federal State,Male
158,42101-8288599-9,Zawar Farhan,Farhan Zahid,"Mar 24, 1974",Z7Z306,"House No 87-L, Street No 29, Sector O-5/0",Islamabad,Federal State,Male
159,42101-8045539-9,Irfan Maisam,Maisam Tariq,"Apr 13, 1976",T2S876,"House No 03-X, Street No 1, Sector E-0/4",Lahore,Punjab,Male
160,42401-6129169-9,Hina Talha,Talha Khan,"Jul 24, 1982",P4G046,"House No 60-D, Street No 17, Sector I-5/4",Lahore,Punjab,Female
161,42401-5021419-9,Roha Yasir,Yasir Usman,"Apr 30, 1998",T1C856,"House No 38-H, Street No 12, Sector Q-6/2",Quetta,Balochistan,Female
162,42401-7236879-9,Sana Ali,Ali Malik,"Nov 5, 1991",S2Q235,"House No 86-Z, Street No 12, Sector I-2/0",Quetta,Balochistan,Female
163,42101-7228059-9,Ayan Abid,Abid Wasay,"Oct 13, 1956",P3N827,"House No 94-K, Street No 18, Sector U-1/9",Lahore,Punjab,Male
164,42401-0281299-9,Bilal Zeeshan,Zeeshan Abid,"Sep 28, 1971",O0E562,"House No 77-K, Street No 5, Sector R-7/8",Karachi,Sindh,Male
165,42401-3280489-9,Sana Farooq,Farooq Subhan,"May 22, 1981",S2Y972,"House No 67-A, Street No 13, Sector W-2/9",Quetta,Balochistan,Female
166,42401-5195649-9,Ibrahim Zaid,Zaid Umair,"Jun 22, 1992",Z2Q579,"House No 21-J, Street No 2, Sector U-4/8",Islamabad,Federal State,Male
167,42101-3128989-9,Aafea Salman,Salman Aashir,"May 31, 2001",N0W605,"House No 84-G, Street No 14, Sector P-9/2",Peshawar,KPK,Female
168,42101-4304559-9,Nida Idrees,Idrees Amjad,"Oct 3, 1963",R3G367,"House No 03-D, Street No 25, Sector V-2/5",Islamabad,Federal State,Female
169,42101-9085969-9,Askari Imran,Imran Ismail,"Aug 26, 2001",V3G823,"House No 20-P, Street No 9, Sector W-4/0",Peshawar,KPK,Male
